date,holiday,type
01-Jan-2024,New Year's Day,evening
26-Jan-2024,Republic Day,full
08-Mar-2024,Maha Shivaratri,morning
25-Mar-2024,Holi,morning
29-Mar-2024,Good Friday,full
10-Apr-2024,Id-ul-Fitr (Ramzan ID),full
14-Apr-2024,Dr.Baba Saheb Ambedkar Jayanti,full
17-Apr-2024,Ram Navami,full
21-Apr-2024,Mahavir Jayanti,morning
01-May-2024,Maharashtra Day,morning
17-Jun-2024,Bakri Id / Eid ul-Adha,morning
17-Jul-2024,Muharram,morning
15-Aug-2024,Independence Day,full
07-Sep-2024,Ganesh Chaturthi,morning
02-Oct-2024,Mahatma Gandhi Jayanti,full
13-Oct-2024,Dasara,morning
01-Nov-2024,Diwali-Laxmi Pujan**,morning
02-Nov-2024,Diwali-Balipratipada,morning
15-Nov-2024,Guru Nanak Jayanti,morning
25-Dec-2024,Christmas,full
01-Jan-2025,New Year's Day,evening
26-Jan-2025,Republic Day,full
14-Mar-2025,Holi,morning
26-Mar-2025,Maha Shivaratri,morning
31-Mar-2025,Id-ul-Fitr (Ramzan ID),full
06-Apr-2025,Ram Navami,full
10-Apr-2025,Mahavir Jayanti,morning
14-Apr-2025,Dr.Baba Saheb Ambedkar Jayanti,full
18-Apr-2025,Good Friday,full
01-May-2025,Maharashtra Day,morning
06-Jul-2025,Muharram,morning
07-Jul-2025,Bakri Id / Eid ul-Adha,morning
15-Aug-2025,Independence Day,full
27-Aug-2025,Ganesh Chaturthi,morning
02-Oct-2025,Mathatma Gandhi Jayanti,full
20-Oct-2025,Diwali-Laxmi Pujan**,morning
05-Nov-2025,Guru Nanak Jayanti,morning
21-Nov-2025,Diwali-Balipratipada,morning
25-Dec-2025,Christmas,full
01-Jan-2026,New Year's Day,evening
26-Jan-2026,Republic Day,full
15-Feb-2026,Maha Shivaratri,morning
04-Mar-2026,Holi,morning
21-Mar-2026,Id-ul-Fitr (Ramzan ID),full
27-Mar-2026,Ram Navami,full
31-Mar-2026,Mahavir Jayanti,morning
03-Apr-2026,Good Friday,full
14-Apr-2026,Dr.Baba Saheb Ambedkar Jayanti,full
01-May-2026,Maharashtra Day,morning
27-May-2026,Bakri Id / Eid ul-Adha,morning
26-Jun-2026,Muharram,morning
15-Aug-2026,Independence Day,full
14-Sep-2026,Ganesh Chaturthi,morning
02-Oct-2026,Mathatma Gandhi Jayanti,full
20-Oct-2026,Dasara,morning
08-Nov-2026,Diwali-Laxmi Pujan**,morning
09-Nov-2026,Diwali-Balipratipada,morning
24-Nov-2026,Guru Nanak Jayanti,morning
25-Dec-2026,Christmas,full